2016 Rank,,Armada,Hungrybox,Mango,Mew2King,Leffen,Plup,SFAT,Westballz,Axe,Shroomed,Swedish Delight,Wizzrobe,Ice,PewPewU,Duck,S2J,Nintendude,n0ne,Lucky,Silent Wolf,The Moon,ChuDat,DruggedFox,Professor Pro,Colbol,MacD,dizzkidboogie,MikeHaze,KirbyKaze,Wobbles,Zhu,aMSa,Laudandus,KJH,Gahtzu,Chillin,Javi,HugS,Bladewise,Abate,Gravy,Prince Abu,Santiago,Trif,Captain Faceroll,Connor,Infinite Numbers,Ryan Ford,Crush,Mafia,Slox,Rudolph,OverTriforce,lloD,Kels,Amsah,Cactuar,Zgetto,Rishi,Android,Captain Smuckers,DJ Nintendo,Zain,Syrox,Squid,Ka-Master,Medz,ARMY,SET COUNT VS. ALL,SET COUNT VS. >26,SET COUNT VS. 11-25,SET COUNT VS. 6-10,SET COUNT VS. 1-5
45,Captain Faceroll,,,,,,, 1-1*,1-2,,0-1,,,,1-0,,0-3,,,0-8,,,,,,0-1,1-5,,0-1,,,,,,,,,,1-2,0-1,,,,2-5,,X,0-2,,,,,,,,,2-3,,,,,,3-1,,1-0,0-1,22-10,,,2-9,38 - 52,35 - 36,1 - 12,2 - 4,0 - 0
46,Connor,,,,,,,,0-1,,,,,,,,0-2,,,,,,,0-1,,,1-2,,0-1,,,,,,,,,,0-1,0-1,,,,,,2-0,X,,,,,,,,,,,,,,,,,,,6-1,,,3-0,12 - 10,12 - 6,0 - 3,0 - 1,0 - 0
47,Infinite Numbers,0-1,,,,0-1,,,1-0,,,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,1 - 3,0 - 0,0 - 1,1 - 0,0 - 2
48,Ryan Ford,,,,0-1,,,,0-2,,,0-1,,,,0-4,,1-0,2-3,0-2,,0-1,,0-3,1-0,2-0,,,0-1,12-12,,, 0-2*,,5-1,,,,0-2,,,,1-0,,,,,,X,,,1-0,,,,,,,,,1-0,,1-0,0-1,,,,,0-1,27 - 37,21 - 20,6 - 14,0 - 2,0 - 1
49,Crush,,,,,0-2,,,,0-1,,1-0,,0-2,,,1-0,1-0,,,,,1-1,0-3,1-1,4-0,2-0,1-0,0-1,0-1,,,0-1,,1-0,1-1,,,0-1,,,,,,,,,,,X,27-1,8-0,,,,,,,,,0-1,2-2,0-1,,,,,,,52 - 20,43 - 10,9 - 7,0 - 1,0 - 2
50,Mafia,,,0-1,,,,0-1,,,0-1,0-1,0-1,,,,,,0-1,1-0,,1-0,,,,,,,,,,,,,,,,,1-0,,,,,,,,,,,1-27,X,4-7,,,,,,,,,,0-1,,,,,,,,8 - 42,6 - 36,2 - 3,0 - 2,0 - 1
51,Slox,,0-1,,,,,1-0,,,,4-3,,0-2,,,,0-1,,,,1-2,0-2,0-2,,2-0,1-0,0-1,,0-1,,,,,,1-1,,,0-2,,,0-1,1-0,,,,,,0-1,0-8,7-4,X,,,,,,,,0-1,1-0,4-9,3-2,,0-1,,,,,26 - 45,18 - 32,7 - 12,1 - 0,0 - 1
52,Rudolph,,,,,,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,0-1,,,,,,,,,,,0-1,,,,,,,,,X,,,,,,,,,,,,,,,,,0 - 3,0 - 2,0 - 0,0 - 1,0 - 0
53,OverTriforce,,,,,0-1,,,,,,,0-1,,,,,,,,,1-2,,,1-3,,,,,,,,,,,,,,,,,,,,2-1,,,,,,,,,X,,,1-2,,0-2,,1-1,,,,,,,,,6 - 13,4 - 6,2 - 6,0 - 0,0 - 1
54,lloD,,,,,,,,,0-1,,,0-1,,,1-0,,,,0-1,,,,,,,,,,,,,,,0-1,,,,,,1-0,,,,,,,,,,,,,,X,,,,,8-10,1-0,,,7-3,,,,,,18 - 17,17 - 14,1 - 2,0 - 1,0 - 0
55,Kels,,, 1-0*,,,,,0-1,0-1,0-1,,,,,0-1,0-1,,1-0,,,,,,,0-1,0-1,,,,,,,,0-1,1-0,,,0-1,,1-0,,2-2,,,3-2,,,,,,,,,,X,,,,1-0,,,,1-0,,,,,,10 - 13,9 - 7,1 - 3,0 - 3, 1 - 0*
58,Amsah,0-4,,,,0-2,,,,,,,,,,,0-1,0-1,0-2,,,0-1,,,3-0,,,0-1,,,,,,,,,1-0,,,,,,,,2-2,,,,,,,,,2-1,,,X,,8-5,,4-0,,,,,,1-0,,,21 - 20,18 - 9,3 - 5,0 - 0,0 - 6
60,Cactuar,,,,,,,1-0,,,,,,,,,,,,,,0-1,,,,,,0-1,0-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,1-0,,,,,,,,,2 - 3,1 - 2,0 - 1,1 - 0,0 - 0
61,Zgetto,0-1,,,,,,,,,,,0-1,,,,,,,0-1,0-1,,0-1,0-2,2-2,,,,,,,,,,,,,,,0-1,,,,,,,,,,,,,,2-0,,,5-8,,X,,0-1,,,,,,,1-0,,10 - 19,8 - 10,2 - 8,0 - 0,0 - 1
62,Rishi,,,,,,,,0-1,,,1-3,0-1,,,0-1,0-1,,,,,,2-1,0-1,1-0,1-1,,0-1,0-1,,,,,,,,2-0,,,,,,,,,,,,,,,1-0,,,10-8,0-1,,,,X,,,,9-3,,,,,,27 - 24,22 - 14,5 - 9,0 - 1,0 - 0
63,Android,,,,,0-1,,0-1,,1-0,,,,,,0-1,,,,,,,0-2,0-1,1-0,,,,,0-1,,,,0-1,0-1,,,,,,,,,,1-0,,,,0-1,1-0,,0-1,,1-1,0-1,,0-4,0-1,1-0,,X,,,,,,,,,6 - 18,4 - 12,1 - 4,1 - 1,0 - 1
64,Captain Smuckers,,0-2,,,,,,,0-1,0-1,0-3,,,,,0-1,1-0,,0-1,,0-1,,,,0-1,5-0,4-2,0-1,1-1,,,,,0-2,,,,,,,,1-0,,,1-3,,,,2-2,1-0,9-4,,,,,,,,,,X,7-7,,,4-0,,2-1,,38 - 34,37 - 23,1 - 7,0 - 2,0 - 2
65,DJ Nintendo,0-1,,,,,,,0-1,,, 3-4*,0-1,,,0-1,,,0-1,,,0-1,,,,,,0-5,,0-1,,,,,,,,,,,,,,,,,,,0-1,1-0,,2-3,,,,,,,,,,7-7,X,,0-1,,,,,13  - 28,10 - 18,3 - 8,0 - 1,0 - 1
66,Zain,,,,,1-0,0-1,0-1,,,,0-1,,,,,0-2,,,0-1,,,,0-1,,0-1,,,,,,,,,1-0,,,,,,1-0,,1-0,,,0-1,,,1-0,,,,,,3-7,0-1,,,,3-9,,,,X,,2-0,,,,13 - 22,12 - 18,0 - 2,0 - 2,1 - 0
67,Syrox,,0-1,,,,,1-4,1-1,,1-0,0-1,,0-1,0-2,,1-0,,1-1,1-2,,0-1,,,1-0,4-0,0-1,,0-1,,,,,,,1-1,,,1-2,1-1,,,,0-1,,1-0,,,,1-0,,,,,,,,,,,,,1-0,,X,,1-0,0-1,0-1,18 - 25,7 - 9,8 - 8,3 - 7,0 - 1
69,Squid,,,,0-1,,,0-3,0-4,,,,,,,,1-5,,,2-9,,,,,,,1-4,1-4,1-0,,,,,0-1,,,,,2-8,,,,,0-4,,10-22,1-6,,,,,,,,,,,,,,,0-4,,0-2,,X,,0-2,4-4,23 - 83,20 - 61,3 - 14,0 - 7,0 - 1
76,Ka-Master,,,,,,,,,,,,,,,,0-2,0-1,,,,1-0,,,,,,0-1,,,,,,,,,,,1-0,0-5,,,0-1,,,,,,,,,,,,,,0-1,,,,,,,,0-2,,X,,,2 - 13,1 - 10,1 - 3,0 - 0,0 - 0
89,Medz,,,,,,,,0-1,2-4,0-2,,,,,0-2,,,0-1,,,1-1,,,,,,0-1,,,,,,,,,,,,1-0,,,,,,,,,,,,,,,,,,,0-1,,,1-2,,,1-0,2-0,,X,,8 - 15,5 - 4,1 - 4,2 - 7,0 - 0
N/A,ARMY,,0-1,,,,0-1,0-6,1-5,,,,,1-0,,,0-5,,,0-2,,,,0-1,,,0-3,,2-12,,,,,0-1,,,,,3-10,,,,,,,9-2,0-3,,1-0,,,,,,,,,,,,,,,,1-0,4-4,,,X,22 - 56,20 - 35,1 - 8,1 - 12,0 - 1
